Tên khách hàng (*),Số điện thoại (*),Mã số thuế,Email,Địa chỉ,Hạn mức nợ (VNĐ),Số dư nợ đầu kỳ (VNĐ),Kênh nhận HĐ (QR/EMAIL/ZALO)
Hoàng Thanh Lan,0910005999,,khachhang.05999@gmail.com,"Số 500 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Vũ Hồng Nghĩa,0910006000,0300006000,khachhang.06000@gmail.com,"Số 1 Nguyễn Trãi, Hà Nội",5000000,0,QR
Bùi Mạnh Thảo,0910006001,,khachhang.06001@gmail.com,"Số 2 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Ngô Đức Tùng,0910006002,,khachhang.06002@gmail.com,"Số 3 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Đinh Tuấn Bình,0910006003,,khachhang.06003@gmail.com,"Số 4 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Nguyễn Bảo Hiếu,0910006004,,khachhang.06004@gmail.com,"Số 5 Lê Lợi, Thái Nguyên",11000000,2000000,EMAIL
Phạm Thị Khoa,0910006005,0300006005,khachhang.06005@gmail.com,"Số 6 Giải Phóng, Nam Định",12500000,0,ZALO
Phan Minh Nam,0910006006,,khachhang.06006@gmail.com,"Số 7 Lý Thường Kiệt, Thanh Hóa",14000000,0,QR
Đặng Xuân Sơn,0910006007,,khachhang.06007@gmail.com,"Số 8 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Hồ Trọng Trung,0910006008,,khachhang.06008@gmail.com,"Số 9 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,0,ZALO
Lý Ngọc Yến,0910006009,,khachhang.06009@gmail.com,"Số 10 Cầu Giấy, Hải Phòng",18500000,0,QR
Lâm Hữu Hải,0910006010,0300006010,khachhang.06010@gmail.com,"Số 11 Pasteur, Bình Dương",5000000,0,EMAIL
Lê Kim Hương,0910006011,,khachhang.06011@gmail.com,"Số 12 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Huỳnh Văn Mai,0910006012,,khachhang.06012@gmail.com,"Số 13 Hai Bà Trưng, Quảng Ninh",8000000,2000000,QR
Võ Quang Phúc,0910006013,,khachhang.06013@gmail.com,"Số 14 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Đỗ Anh Thu,0910006014,,khachhang.06014@gmail.com,"Số 15 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Dương Gia Vũ,0910006015,0300006015,khachhang.06015@gmail.com,"Số 16 Nguyễn Trãi, Hà Nội",12500000,0,QR
Đoàn Đình Giang,0910006016,,khachhang.06016@gmail.com,"Số 17 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Trần Thanh Huy,0910006017,,khachhang.06017@gmail.com,"Số 18 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Hoàng Hồng Linh,0910006018,,khachhang.06018@gmail.com,"Số 19 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Vũ Mạnh Nhung,0910006019,,khachhang.06019@gmail.com,"Số 20 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Bùi Đức Thắng,0910006020,0300006020,khachhang.06020@gmail.com,"Số 21 Giải Phóng, Nam Định",5000000,2000000,ZALO
Ngô Tuấn Vân,0910006021,,khachhang.06021@gmail.com,"Số 22 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Đinh Bảo Cường,0910006022,,khachhang.06022@gmail.com,"Số 23 Quang Trung, Lâm Đồng",8000000,0,EMAIL
Nguyễn Thị Hoài,0910006023,,khachhang.06023@gmail.com,"Số 24 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Phạm Minh Kiên,0910006024,,khachhang.06024@gmail.com,"Số 25 Cầu Giấy, Hải Phòng",11000000,0,QR
Phan Xuân Nga,0910006025,0300006025,khachhang.06025@gmail.com,"Số 26 Pasteur, Bình Dương",12500000,0,EMAIL
Đặng Trọng Tâm,0910006026,,khachhang.06026@gmail.com,"Số 27 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Hồ Ngọc Tuấn,0910006027,,khachhang.06027@gmail.com,"Số 28 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Lý Hữu An,0910006028,,khachhang.06028@gmail.com,"Số 29 Nguyễn Huệ, Nghệ An",17000000,2000000,EMAIL
Lâm Kim Hạnh,0910006029,,khachhang.06029@gmail.com,"Số 30 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Lê Văn Khánh,0910006030,0300006030,khachhang.06030@gmail.com,"Số 31 Nguyễn Trãi, Hà Nội",5000000,0,QR
Huỳnh Quang Minh,0910006031,,khachhang.06031@gmail.com,"Số 32 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Võ Anh Quân,0910006032,,khachhang.06032@gmail.com,"Số 33 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Đỗ Gia Trang,0910006033,,khachhang.06033@gmail.com,"Số 34 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Dương Đình Vy,0910006034,,khachhang.06034@gmail.com,"Số 35 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Đoàn Thanh Hà,0910006035,0300006035,khachhang.06035@gmail.com,"Số 36 Giải Phóng, Nam Định",12500000,0,ZALO
Trần Hồng Hùng,0910006036,,khachhang.06036@gmail.com,"Số 37 Lý Thường Kiệt, Thanh Hóa",14000000,2000000,QR
Hoàng Mạnh Long,0910006037,,khachhang.06037@gmail.com,"Số 38 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Vũ Đức Phong,0910006038,,khachhang.06038@gmail.com,"Số 39 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,0,ZALO
Bùi Tuấn Thịnh,0910006039,,khachhang.06039@gmail.com,"Số 40 Cầu Giấy, Hải Phòng",18500000,0,QR
Ngô Bảo Vinh,0910006040,0300006040,khachhang.06040@gmail.com,"Số 41 Pasteur, Bình Dương",5000000,0,EMAIL
Đinh Thị Dũng,0910006041,,khachhang.06041@gmail.com,"Số 42 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Nguyễn Minh Hoàng,0910006042,,khachhang.06042@gmail.com,"Số 43 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Phạm Xuân Lan,0910006043,,khachhang.06043@gmail.com,"Số 44 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Phan Trọng Nghĩa,0910006044,,khachhang.06044@gmail.com,"Số 45 Cách Mạng Tháng 8, Khánh Hòa",11000000,2000000,ZALO
Đặng Ngọc Thảo,0910006045,0300006045,khachhang.06045@gmail.com,"Số 46 Nguyễn Trãi, Hà Nội",12500000,0,QR
Hồ Hữu Tùng,0910006046,,khachhang.06046@gmail.com,"Số 47 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Lý Kim Bình,0910006047,,khachhang.06047@gmail.com,"Số 48 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Lâm Văn Hiếu,0910006048,,khachhang.06048@gmail.com,"Số 49 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Lê Quang Khoa,0910006049,,khachhang.06049@gmail.com,"Số 50 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Huỳnh Anh Nam,0910006050,0300006050,khachhang.06050@gmail.com,"Số 51 Giải Phóng, Nam Định",5000000,0,ZALO
Võ Gia Sơn,0910006051,,khachhang.06051@gmail.com,"Số 52 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Đỗ Đình Trung,0910006052,,khachhang.06052@gmail.com,"Số 53 Quang Trung, Lâm Đồng",8000000,2000000,EMAIL
Dương Thanh Yến,0910006053,,khachhang.06053@gmail.com,"Số 54 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Đoàn Hồng Hải,0910006054,,khachhang.06054@gmail.com,"Số 55 Cầu Giấy, Hải Phòng",11000000,0,QR
Trần Mạnh Hương,0910006055,0300006055,khachhang.06055@gmail.com,"Số 56 Pasteur, Bình Dương",12500000,0,EMAIL
Hoàng Đức Mai,0910006056,,khachhang.06056@gmail.com,"Số 57 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Vũ Tuấn Phúc,0910006057,,khachhang.06057@gmail.com,"Số 58 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Bùi Bảo Thu,0910006058,,khachhang.06058@gmail.com,"Số 59 Nguyễn Huệ, Nghệ An",17000000,0,EMAIL
Ngô Thị Vũ,0910006059,,khachhang.06059@gmail.com,"Số 60 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Đinh Minh Giang,0910006060,0300006060,khachhang.06060@gmail.com,"Số 61 Nguyễn Trãi, Hà Nội",5000000,2000000,QR
Nguyễn Xuân Huy,0910006061,,khachhang.06061@gmail.com,"Số 62 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Phạm Trọng Linh,0910006062,,khachhang.06062@gmail.com,"Số 63 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Phan Ngọc Nhung,0910006063,,khachhang.06063@gmail.com,"Số 64 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Đặng Hữu Thắng,0910006064,,khachhang.06064@gmail.com,"Số 65 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Hồ Kim Vân,0910006065,0300006065,khachhang.06065@gmail.com,"Số 66 Giải Phóng, Nam Định",12500000,0,ZALO
Lý Văn Cường,0910006066,,khachhang.06066@gmail.com,"Số 67 Lý Thường Kiệt, Thanh Hóa",14000000,0,QR
Lâm Quang Hoài,0910006067,,khachhang.06067@gmail.com,"Số 68 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Lê Anh Kiên,0910006068,,khachhang.06068@gmail.com,"Số 69 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,2000000,ZALO
Huỳnh Gia Nga,0910006069,,khachhang.06069@gmail.com,"Số 70 Cầu Giấy, Hải Phòng",18500000,0,QR
Võ Đình Tâm,0910006070,0300006070,khachhang.06070@gmail.com,"Số 71 Pasteur, Bình Dương",5000000,0,EMAIL
Đỗ Thanh Tuấn,0910006071,,khachhang.06071@gmail.com,"Số 72 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Dương Hồng An,0910006072,,khachhang.06072@gmail.com,"Số 73 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Đoàn Mạnh Hạnh,0910006073,,khachhang.06073@gmail.com,"Số 74 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Trần Đức Khánh,0910006074,,khachhang.06074@gmail.com,"Số 75 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Hoàng Tuấn Minh,0910006075,0300006075,khachhang.06075@gmail.com,"Số 76 Nguyễn Trãi, Hà Nội",12500000,0,QR
Vũ Bảo Quân,0910006076,,khachhang.06076@gmail.com,"Số 77 Hoàng Diệu, Đà Nẵng",14000000,2000000,EMAIL
Bùi Thị Trang,0910006077,,khachhang.06077@gmail.com,"Số 78 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Ngô Minh Vy,0910006078,,khachhang.06078@gmail.com,"Số 79 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Đinh Xuân Hà,0910006079,,khachhang.06079@gmail.com,"Số 80 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Nguyễn Trọng Hùng,0910006080,0300006080,khachhang.06080@gmail.com,"Số 81 Giải Phóng, Nam Định",5000000,0,ZALO
Phạm Ngọc Long,0910006081,,khachhang.06081@gmail.com,"Số 82 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Phan Hữu Phong,0910006082,,khachhang.06082@gmail.com,"Số 83 Quang Trung, Lâm Đồng",8000000,0,EMAIL
Đặng Kim Thịnh,0910006083,,khachhang.06083@gmail.com,"Số 84 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Hồ Văn Vinh,0910006084,,khachhang.06084@gmail.com,"Số 85 Cầu Giấy, Hải Phòng",11000000,2000000,QR
Lý Quang Dũng,0910006085,0300006085,khachhang.06085@gmail.com,"Số 86 Pasteur, Bình Dương",12500000,0,EMAIL
Lâm Anh Hoàng,0910006086,,khachhang.06086@gmail.com,"Số 87 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Lê Gia Lan,0910006087,,khachhang.06087@gmail.com,"Số 88 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Huỳnh Đình Nghĩa,0910006088,,khachhang.06088@gmail.com,"Số 89 Nguyễn Huệ, Nghệ An",17000000,0,EMAIL
Võ Thanh Thảo,0910006089,,khachhang.06089@gmail.com,"Số 90 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Đỗ Hồng Tùng,0910006090,0300006090,khachhang.06090@gmail.com,"Số 91 Nguyễn Trãi, Hà Nội",5000000,0,QR
Dương Mạnh Bình,0910006091,,khachhang.06091@gmail.com,"Số 92 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Đoàn Đức Hiếu,0910006092,,khachhang.06092@gmail.com,"Số 93 Điện Biên Phủ, Cần Thơ",8000000,2000000,ZALO
Trần Tuấn Khoa,0910006093,,khachhang.06093@gmail.com,"Số 94 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Hoàng Bảo Nam,0910006094,,khachhang.06094@gmail.com,"Số 95 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Vũ Thị Sơn,0910006095,0300006095,khachhang.06095@gmail.com,"Số 96 Giải Phóng, Nam Định",12500000,0,ZALO
Bùi Minh Trung,0910006096,,khachhang.06096@gmail.com,"Số 97 Lý Thường Kiệt, Thanh Hóa",14000000,0,QR
Ngô Xuân Yến,0910006097,,khachhang.06097@gmail.com,"Số 98 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Đinh Trọng Hải,0910006098,,khachhang.06098@gmail.com,"Số 99 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,0,ZALO
Nguyễn Ngọc Hương,0910006099,,khachhang.06099@gmail.com,"Số 100 Cầu Giấy, Hải Phòng",18500000,0,QR
Phạm Hữu Mai,0910006100,0300006100,khachhang.06100@gmail.com,"Số 101 Pasteur, Bình Dương",5000000,2000000,EMAIL
Phan Kim Phúc,0910006101,,khachhang.06101@gmail.com,"Số 102 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Đặng Văn Thu,0910006102,,khachhang.06102@gmail.com,"Số 103 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Hồ Quang Vũ,0910006103,,khachhang.06103@gmail.com,"Số 104 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Lý Anh Giang,0910006104,,khachhang.06104@gmail.com,"Số 105 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Lâm Gia Huy,0910006105,0300006105,khachhang.06105@gmail.com,"Số 106 Nguyễn Trãi, Hà Nội",12500000,0,QR
Lê Đình Linh,0910006106,,khachhang.06106@gmail.com,"Số 107 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Huỳnh Thanh Nhung,0910006107,,khachhang.06107@gmail.com,"Số 108 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Võ Hồng Thắng,0910006108,,khachhang.06108@gmail.com,"Số 109 Võ Văn Kiệt, Đồng Nai",17000000,2000000,QR
Đỗ Mạnh Vân,0910006109,,khachhang.06109@gmail.com,"Số 110 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Dương Đức Cường,0910006110,0300006110,khachhang.06110@gmail.com,"Số 111 Giải Phóng, Nam Định",5000000,0,ZALO
Đoàn Tuấn Hoài,0910006111,,khachhang.06111@gmail.com,"Số 112 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Trần Bảo Kiên,0910006112,,khachhang.06112@gmail.com,"Số 113 Quang Trung, Lâm Đồng",8000000,0,EMAIL
Hoàng Thị Nga,0910006113,,khachhang.06113@gmail.com,"Số 114 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Vũ Minh Tâm,0910006114,,khachhang.06114@gmail.com,"Số 115 Cầu Giấy, Hải Phòng",11000000,0,QR
Bùi Xuân Tuấn,0910006115,0300006115,khachhang.06115@gmail.com,"Số 116 Pasteur, Bình Dương",12500000,0,EMAIL
Ngô Trọng An,0910006116,,khachhang.06116@gmail.com,"Số 117 Bạch Đằng, Bắc Ninh",14000000,2000000,ZALO
Đinh Ngọc Hạnh,0910006117,,khachhang.06117@gmail.com,"Số 118 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Nguyễn Hữu Khánh,0910006118,,khachhang.06118@gmail.com,"Số 119 Nguyễn Huệ, Nghệ An",17000000,0,EMAIL
Phạm Kim Minh,0910006119,,khachhang.06119@gmail.com,"Số 120 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Phan Văn Quân,0910006120,0300006120,khachhang.06120@gmail.com,"Số 121 Nguyễn Trãi, Hà Nội",5000000,0,QR
Đặng Quang Trang,0910006121,,khachhang.06121@gmail.com,"Số 122 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Hồ Anh Vy,0910006122,,khachhang.06122@gmail.com,"Số 123 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Lý Gia Hà,0910006123,,khachhang.06123@gmail.com,"Số 124 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Lâm Đình Hùng,0910006124,,khachhang.06124@gmail.com,"Số 125 Lê Lợi, Thái Nguyên",11000000,2000000,EMAIL
Lê Thanh Long,0910006125,0300006125,khachhang.06125@gmail.com,"Số 126 Giải Phóng, Nam Định",12500000,0,ZALO
Huỳnh Hồng Phong,0910006126,,khachhang.06126@gmail.com,"Số 127 Lý Thường Kiệt, Thanh Hóa",14000000,0,QR
Võ Mạnh Thịnh,0910006127,,khachhang.06127@gmail.com,"Số 128 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Đỗ Đức Vinh,0910006128,,khachhang.06128@gmail.com,"Số 129 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,0,ZALO
Dương Tuấn Dũng,0910006129,,khachhang.06129@gmail.com,"Số 130 Cầu Giấy, Hải Phòng",18500000,0,QR
Đoàn Bảo Hoàng,0910006130,0300006130,khachhang.06130@gmail.com,"Số 131 Pasteur, Bình Dương",5000000,0,EMAIL
Trần Thị Lan,0910006131,,khachhang.06131@gmail.com,"Số 132 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Hoàng Minh Nghĩa,0910006132,,khachhang.06132@gmail.com,"Số 133 Hai Bà Trưng, Quảng Ninh",8000000,2000000,QR
Vũ Xuân Thảo,0910006133,,khachhang.06133@gmail.com,"Số 134 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Bùi Trọng Tùng,0910006134,,khachhang.06134@gmail.com,"Số 135 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Ngô Ngọc Bình,0910006135,0300006135,khachhang.06135@gmail.com,"Số 136 Nguyễn Trãi, Hà Nội",12500000,0,QR
Đinh Hữu Hiếu,0910006136,,khachhang.06136@gmail.com,"Số 137 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Nguyễn Kim Khoa,0910006137,,khachhang.06137@gmail.com,"Số 138 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Phạm Văn Nam,0910006138,,khachhang.06138@gmail.com,"Số 139 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Phan Quang Sơn,0910006139,,khachhang.06139@gmail.com,"Số 140 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Đặng Anh Trung,0910006140,0300006140,khachhang.06140@gmail.com,"Số 141 Giải Phóng, Nam Định",5000000,2000000,ZALO
Hồ Gia Yến,0910006141,,khachhang.06141@gmail.com,"Số 142 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Lý Đình Hải,0910006142,,khachhang.06142@gmail.com,"Số 143 Quang Trung, Lâm Đồng",8000000,0,EMAIL
Lâm Thanh Hương,0910006143,,khachhang.06143@gmail.com,"Số 144 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Lê Hồng Mai,0910006144,,khachhang.06144@gmail.com,"Số 145 Cầu Giấy, Hải Phòng",11000000,0,QR
Huỳnh Mạnh Phúc,0910006145,0300006145,khachhang.06145@gmail.com,"Số 146 Pasteur, Bình Dương",12500000,0,EMAIL
Võ Đức Thu,0910006146,,khachhang.06146@gmail.com,"Số 147 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Đỗ Tuấn Vũ,0910006147,,khachhang.06147@gmail.com,"Số 148 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Dương Bảo Giang,0910006148,,khachhang.06148@gmail.com,"Số 149 Nguyễn Huệ, Nghệ An",17000000,2000000,EMAIL
Đoàn Thị Huy,0910006149,,khachhang.06149@gmail.com,"Số 150 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Trần Minh Linh,0910006150,0300006150,khachhang.06150@gmail.com,"Số 151 Nguyễn Trãi, Hà Nội",5000000,0,QR
Hoàng Xuân Nhung,0910006151,,khachhang.06151@gmail.com,"Số 152 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Vũ Trọng Thắng,0910006152,,khachhang.06152@gmail.com,"Số 153 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Bùi Ngọc Vân,0910006153,,khachhang.06153@gmail.com,"Số 154 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Ngô Hữu Cường,0910006154,,khachhang.06154@gmail.com,"Số 155 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Đinh Kim Hoài,0910006155,0300006155,khachhang.06155@gmail.com,"Số 156 Giải Phóng, Nam Định",12500000,0,ZALO
Nguyễn Văn Kiên,0910006156,,khachhang.06156@gmail.com,"Số 157 Lý Thường Kiệt, Thanh Hóa",14000000,2000000,QR
Phạm Quang Nga,0910006157,,khachhang.06157@gmail.com,"Số 158 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Phan Anh Tâm,0910006158,,khachhang.06158@gmail.com,"Số 159 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,0,ZALO
Đặng Gia Tuấn,0910006159,,khachhang.06159@gmail.com,"Số 160 Cầu Giấy, Hải Phòng",18500000,0,QR
Hồ Đình An,0910006160,0300006160,khachhang.06160@gmail.com,"Số 161 Pasteur, Bình Dương",5000000,0,EMAIL
Lý Thanh Hạnh,0910006161,,khachhang.06161@gmail.com,"Số 162 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Lâm Hồng Khánh,0910006162,,khachhang.06162@gmail.com,"Số 163 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Lê Mạnh Minh,0910006163,,khachhang.06163@gmail.com,"Số 164 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Huỳnh Đức Quân,0910006164,,khachhang.06164@gmail.com,"Số 165 Cách Mạng Tháng 8, Khánh Hòa",11000000,2000000,ZALO
Võ Tuấn Trang,0910006165,0300006165,khachhang.06165@gmail.com,"Số 166 Nguyễn Trãi, Hà Nội",12500000,0,QR
Đỗ Bảo Vy,0910006166,,khachhang.06166@gmail.com,"Số 167 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Dương Thị Hà,0910006167,,khachhang.06167@gmail.com,"Số 168 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Đoàn Minh Hùng,0910006168,,khachhang.06168@gmail.com,"Số 169 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Trần Xuân Long,0910006169,,khachhang.06169@gmail.com,"Số 170 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Hoàng Trọng Phong,0910006170,0300006170,khachhang.06170@gmail.com,"Số 171 Giải Phóng, Nam Định",5000000,0,ZALO
Vũ Ngọc Thịnh,0910006171,,khachhang.06171@gmail.com,"Số 172 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Bùi Hữu Vinh,0910006172,,khachhang.06172@gmail.com,"Số 173 Quang Trung, Lâm Đồng",8000000,2000000,EMAIL
Ngô Kim Dũng,0910006173,,khachhang.06173@gmail.com,"Số 174 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Đinh Văn Hoàng,0910006174,,khachhang.06174@gmail.com,"Số 175 Cầu Giấy, Hải Phòng",11000000,0,QR
Nguyễn Quang Lan,0910006175,0300006175,khachhang.06175@gmail.com,"Số 176 Pasteur, Bình Dương",12500000,0,EMAIL
Phạm Anh Nghĩa,0910006176,,khachhang.06176@gmail.com,"Số 177 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Phan Gia Thảo,0910006177,,khachhang.06177@gmail.com,"Số 178 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Đặng Đình Tùng,0910006178,,khachhang.06178@gmail.com,"Số 179 Nguyễn Huệ, Nghệ An",17000000,0,EMAIL
Hồ Thanh Bình,0910006179,,khachhang.06179@gmail.com,"Số 180 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Lý Hồng Hiếu,0910006180,0300006180,khachhang.06180@gmail.com,"Số 181 Nguyễn Trãi, Hà Nội",5000000,2000000,QR
Lâm Mạnh Khoa,0910006181,,khachhang.06181@gmail.com,"Số 182 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Lê Đức Nam,0910006182,,khachhang.06182@gmail.com,"Số 183 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Huỳnh Tuấn Sơn,0910006183,,khachhang.06183@gmail.com,"Số 184 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Võ Bảo Trung,0910006184,,khachhang.06184@gmail.com,"Số 185 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Đỗ Thị Yến,0910006185,0300006185,khachhang.06185@gmail.com,"Số 186 Giải Phóng, Nam Định",12500000,0,ZALO
Dương Minh Hải,0910006186,,khachhang.06186@gmail.com,"Số 187 Lý Thường Kiệt, Thanh Hóa",14000000,0,QR
Đoàn Xuân Hương,0910006187,,khachhang.06187@gmail.com,"Số 188 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Trần Trọng Mai,0910006188,,khachhang.06188@gmail.com,"Số 189 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,2000000,ZALO
Hoàng Ngọc Phúc,0910006189,,khachhang.06189@gmail.com,"Số 190 Cầu Giấy, Hải Phòng",18500000,0,QR
Vũ Hữu Thu,0910006190,0300006190,khachhang.06190@gmail.com,"Số 191 Pasteur, Bình Dương",5000000,0,EMAIL
Bùi Kim Vũ,0910006191,,khachhang.06191@gmail.com,"Số 192 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Ngô Văn Giang,0910006192,,khachhang.06192@gmail.com,"Số 193 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Đinh Quang Huy,0910006193,,khachhang.06193@gmail.com,"Số 194 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Nguyễn Anh Linh,0910006194,,khachhang.06194@gmail.com,"Số 195 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Phạm Gia Nhung,0910006195,0300006195,khachhang.06195@gmail.com,"Số 196 Nguyễn Trãi, Hà Nội",12500000,0,QR
Phan Đình Thắng,0910006196,,khachhang.06196@gmail.com,"Số 197 Hoàng Diệu, Đà Nẵng",14000000,2000000,EMAIL
Đặng Thanh Vân,0910006197,,khachhang.06197@gmail.com,"Số 198 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Hồ Hồng Cường,0910006198,,khachhang.06198@gmail.com,"Số 199 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Lý Mạnh Hoài,0910006199,,khachhang.06199@gmail.com,"Số 200 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Lâm Đức Kiên,0910006200,0300006200,khachhang.06200@gmail.com,"Số 201 Giải Phóng, Nam Định",5000000,0,ZALO
